Graphics v 0.2.5 ';' exported '2021-12-22 09:38:36'
;Record #0;;;;;;;;;
;Cycle #3;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0.883333;0;0;6;401.711;17.1403;25.0716;100;-88.0942;6.09028;
0.886667;0;0;6;402.579;16.4593;25.0716;100;-85.97;6.579;
0.89;0;0;6;400.155;17.0913;25.0756;100;-80.3836;7.1266;
0.893333;0;0;6;400.41;16.1943;25.0775;100;-80.3836;7.10893;
0.896667;0;0;6;398.522;17.0442;25.0775;100;-75.0226;7.0736;
0.9;0;0;6;399.747;17.0972;25.0795;100;-60.2597;6.95388;
0.903333;0;0;6;400.487;16.9617;25.0795;100;-60.2597;6.84789;
0.906667;0;0;6;397.476;18.2414;25.0736;100;-40.7324;6.67517;
0.91;0;0;6;398.139;16.9028;25.0677;100;-40.7324;6.56918;
0.913333;0;0;6;399.849;17.8018;25.0677;100;-24.7885;6.52012;
0.916667;0;0;6;400.716;16.3062;25.0658;100;-8.73123;6.42394;
0.92;0;0;6;403.191;17.7331;25.0618;100;-8.73123;6.30226;
0.923333;0;0;6;400.691;16.844;25.0599;100;-0.742438;6.26889;
0.926667;0;0;6;400.359;17.7507;25.0559;100;5.40921;6.16487;
0.93;0;0;6;398.114;17.3405;25.054;100;5.40921;6.12954;
0.933333;0;0;6;399.925;16.9676;25.0442;100;10.3945;6.06281;
0.936667;0;0;6;401.66;18.0412;25.0402;100;10.3945;5.98626;
0.94;0;0;6;402.094;16.7105;25.0363;100;11.5934;5.90972;
0.943333;0;0;6;398.369;16.8695;25.0304;100;7.15433;5.79195;
0.946667;0;0;6;399.364;16.4887;25.0285;100;7.15433;5.73307;
0.95;0;0;6;398.548;17.3445;25.0265;100;1.65091;5.65064;
0.953333;0;0;6;399.798;16.5594;25.0206;100;-12.0421;5.53876;
0.956667;0;0;6;401.482;18.0667;25.0128;100;-12.0421;5.39156;
0.96;0;0;6;397.527;16.528;25.0088;100;-23.9876;5.30324;
0.963333;0;0;6;399.185;17.7213;25.0029;100;-23.9876;5.24632;
